N,NPfix,envs,germs,hards,pA,pGermBH,pGermWT,bankLength,wB
166.0,0.0,es,gs,hs,0.0,0.9,0.8,5,0.75
464.0,0.0,es,gs,hs,0.0,0.9,0.8,5,0.75
1291.0,0.0,es,gs,hs,0.0,0.9,0.8,5,0.75
3593.0,0.0,es,gs,hs,0.0,0.9,0.8,5,0.75
10000.0,0.0,es,gs,hs,0.0,0.9,0.8,5,0.75
1.0,1.0,es,gs,ss,0.25,0.1,1.0,5,0.75
2.0,0.16723,es,gs,ss,0.25,0.1,1.0,5,0.75
7.0,2.8e-05,es,gs,ss,0.25,0.1,1.0,5,0.75
21.0,0.0,es,gs,ss,0.25,0.1,1.0,5,0.75
59.0,0.0,es,gs,ss,0.25,0.1,1.0,5,0.75
166.0,0.0,es,gs,ss,0.25,0.1,1.0,5,0.75
464.0,0.0,es,gs,ss,0.25,0.1,1.0,5,0.75
1291.0,0.0,es,gs,ss,0.25,0.1,1.0,5,0.75
3593.0,0.0,es,gs,ss,0.25,0.1,1.0,5,0.75
10000.0,0.0,es,gs,ss,0.25,0.1,1.0,5,0.75
1.0,1.0,es,gs,hs,0.5,0.3,0.9,5,0.8
2.0,0.620552,es,gs,hs,0.5,0.3,0.9,5,0.8
7.0,0.031353,es,gs,hs,0.5,0.3,0.9,5,0.8
21.0,0.0,es,gs,hs,0.5,0.3,0.9,5,0.8
59.0,0.0,es,gs,hs,0.5,0.3,0.9,5,0.8
166.0,0.0,es,gs,hs,0.5,0.3,0.9,5,0.8
464.0,0.0,es,gs,hs,0.5,0.3,0.9,5,0.8
1291.0,0.0,es,gs,hs,0.5,0.3,0.9,5,0.8
3593.0,0.0,es,gs,hs,0.5,0.3,0.9,5,0.8
10000.0,0.0,es,gs,hs,0.5,0.3,0.9,5,0.8
1.0,1.0,es,gs,hs,1.0,0.7,0.7,5,0.99
2.0,0.982106,es,gs,hs,1.0,0.7,0.7,5,0.99
7.0,1.041467,es,gs,hs,1.0,0.7,0.7,5,0.99
21.0,0.941514,es,gs,hs,1.0,0.7,0.7,5,0.99
59.0,0.988722,es,gs,hs,1.0,0.7,0.7,5,0.99
166.0,1.00181,es,gs,hs,1.0,0.7,0.7,5,0.99
464.0,0.9976,es,gs,hs,1.0,0.7,0.7,5,0.99
1291.0,0.986324,es,gs,hs,1.0,0.7,0.7,5,0.99
3593.0,0.962924,es,gs,hs,1.0,0.7,0.7,5,0.99
10000.0,0.94,es,gs,hs,1.0,0.7,0.7,5,0.99
1.0,1.0,es,gs,hs,1.0,1.0,0.8,5,0.99
2.0,0.94553,es,gs,hs,1.0,1.0,0.8,5,0.99
7.0,1.152963,es,gs,hs,1.0,1.0,0.8,5,0.99
21.0,1.201284,es,gs,hs,1.0,1.0,0.8,5,0.99
59.0,1.17469,es,gs,hs,1.0,1.0,0.8,5,0.99
166.0,1.166482,es,gs,hs,1.0,1.0,0.8,5,0.99
464.0,1.18552,es,gs,hs,1.0,1.0,0.8,5,0.99
1291.0,1.207085,es,gs,hs,1.0,1.0,0.8,5,0.99
3593.0,1.358154,es,gs,hs,1.0,1.0,0.8,5,0.99
10000.0,1.64,es,gs,hs,1.0,1.0,0.8,5,0.99
1.0,1.0,es,gs,hs,0.25,0.4,1.0,5,0.85
2.0,0.60853,es,gs,hs,0.25,0.4,1.0,5,0.85
7.0,0.047684,es,gs,hs,0.25,0.4,1.0,5,0.85
21.0,2.1e-05,es,gs,hs,0.25,0.4,1.0,5,0.85
59.0,0.0,es,gs,hs,0.25,0.4,1.0,5,0.85
166.0,0.0,es,gs,hs,0.25,0.4,1.0,5,0.85
464.0,0.0,es,gs,hs,0.25,0.4,1.0,5,0.85
1291.0,0.0,es,gs,hs,0.25,0.4,1.0,5,0.85
3593.0,0.0,es,gs,hs,0.25,0.4,1.0,5,0.85
10000.0,0.0,es,gs,hs,0.25,0.4,1.0,5,0.85
1.0,1.0,es,gs,hs,0.75,1.0,0.8,5,0.95
2.0,0.865128,es,gs,hs,0.75,1.0,0.8,5,0.95
7.0,1.010905,es,gs,hs,0.75,1.0,0.8,5,0.95
21.0,1.106175,es,gs,hs,0.75,1.0,0.8,5,0.95
59.0,1.113507,es,gs,hs,0.75,1.0,0.8,5,0.95
166.0,1.091948,es,gs,hs,0.75,1.0,0.8,5,0.95
464.0,1.1061759999999998,es,gs,hs,0.75,1.0,0.8,5,0.95
1291.0,0.98116,es,gs,hs,0.75,1.0,0.8,5,0.95
3593.0,0.79046,es,gs,hs,0.75,1.0,0.8,5,0.95
10000.0,0.61,es,gs,hs,0.75,1.0,0.8,5,0.95
1.0,1.0,es,gs,hs,0.75,0.9,0.9,5,0.75
2.0,0.788436,es,gs,hs,0.75,0.9,0.9,5,0.75
7.0,0.838698,es,gs,hs,0.75,0.9,0.9,5,0.75
21.0,0.941577,es,gs,hs,0.75,0.9,0.9,5,0.75
59.0,0.971966,es,gs,hs,0.75,0.9,0.9,5,0.75
166.0,0.6880700000000001,es,gs,hs,0.75,0.9,0.9,5,0.75
464.0,0.655632,es,gs,hs,0.75,0.9,0.9,5,0.75
1291.0,0.639045,es,gs,hs,0.75,0.9,0.9,5,0.75
3593.0,0.729379,es,gs,hs,0.75,0.9,0.9,5,0.75
10000.0,0.6,es,gs,hs,0.75,0.9,0.9,5,0.75
1.0,1.0,es,gs,hs,0.0,0.3,0.9,5,0.95
2.0,0.531924,es,gs,hs,0.0,0.3,0.9,5,0.95
7.0,0.008435,es,gs,hs,0.0,0.3,0.9,5,0.95
21.0,0.0,es,gs,hs,0.0,0.3,0.9,5,0.95
59.0,0.0,es,gs,hs,0.0,0.3,0.9,5,0.95
166.0,0.0,es,gs,hs,0.0,0.3,0.9,5,0.95
464.0,0.0,es,gs,hs,0.0,0.3,0.9,5,0.95
1291.0,0.0,es,gs,hs,0.0,0.3,0.9,5,0.95
