N,NPfix,fits,germs,hards,pGermBH,pGermWT,bankLength,fmean,fvar
464.0,0.83056,fd,gs,ss,0.7,0.9,7,1.0,0.05
1000.0,0.79,fd,gs,ss,0.7,0.9,7,1.0,0.05
1.0,1.0,fs,gs,ss,0.5,1.0,3,1.1,0.01
2.0,0.62376,fs,gs,ss,0.5,1.0,3,1.1,0.01
4.0,0.41688,fs,gs,ss,0.5,1.0,3,1.1,0.01
10.0,0.2166,fs,gs,ss,0.5,1.0,3,1.1,0.01
21.0,0.05208,fs,gs,ss,0.5,1.0,3,1.1,0.01
46.0,0.00092,fs,gs,ss,0.5,1.0,3,1.1,0.01
100.0,0.0,fs,gs,ss,0.5,1.0,3,1.1,0.01
215.0,0.0,fs,gs,ss,0.5,1.0,3,1.1,0.01
464.0,0.0,fs,gs,ss,0.5,1.0,3,1.1,0.01
1000.0,0.0,fs,gs,ss,0.5,1.0,3,1.1,0.01
1.0,1.0,fs,gs,hs,0.8,0.5,7,0.9,0.1
2.0,0.61808,fs,gs,hs,0.8,0.5,7,0.9,0.1
4.0,0.35784,fs,gs,hs,0.8,0.5,7,0.9,0.1
10.0,0.0586,fs,gs,hs,0.8,0.5,7,0.9,0.1
21.0,0.00168,fs,gs,hs,0.8,0.5,7,0.9,0.1
46.0,0.0,fs,gs,hs,0.8,0.5,7,0.9,0.1
100.0,0.0,fs,gs,hs,0.8,0.5,7,0.9,0.1
215.0,0.0,fs,gs,hs,0.8,0.5,7,0.9,0.1
464.0,0.0,fs,gs,hs,0.8,0.5,7,0.9,0.1
1000.0,0.0,fs,gs,hs,0.8,0.5,7,0.9,0.1
1.0,1.0,fs,gs,hs,0.9,0.7,3,0.9,0.05
2.0,0.5871,fs,gs,hs,0.9,0.7,3,0.9,0.05
4.0,0.35824,fs,gs,hs,0.9,0.7,3,0.9,0.05
10.0,0.0984,fs,gs,hs,0.9,0.7,3,0.9,0.05
21.0,0.00987,fs,gs,hs,0.9,0.7,3,0.9,0.05
46.0,0.0,fs,gs,hs,0.9,0.7,3,0.9,0.05
100.0,0.0,fs,gs,hs,0.9,0.7,3,0.9,0.05
215.0,0.0,fs,gs,hs,0.9,0.7,3,0.9,0.05
464.0,0.0,fs,gs,hs,0.9,0.7,3,0.9,0.05
1000.0,0.0,fs,gs,hs,0.9,0.7,3,0.9,0.05
1.0,1.0,fs,gs,hs,0.8,0.9,7,0.9,0.05
2.0,0.562,fs,gs,hs,0.8,0.9,7,0.9,0.05
4.0,0.3286,fs,gs,hs,0.8,0.9,7,0.9,0.05
10.0,0.0707,fs,gs,hs,0.8,0.9,7,0.9,0.05
21.0,0.00084,fs,gs,hs,0.8,0.9,7,0.9,0.05
46.0,0.0,fs,gs,hs,0.8,0.9,7,0.9,0.05
100.0,0.0,fs,gs,hs,0.8,0.9,7,0.9,0.05
215.0,0.0,fs,gs,hs,0.8,0.9,7,0.9,0.05
464.0,0.0,fs,gs,hs,0.8,0.9,7,0.9,0.05
1000.0,0.0,fs,gs,hs,0.8,0.9,7,0.9,0.05
1.0,1.0,fs,gs,hs,1.0,0.7,7,1.0,0.01
2.0,0.66594,fs,gs,hs,1.0,0.7,7,1.0,0.01
4.0,0.5354,fs,gs,hs,1.0,0.7,7,1.0,0.01
10.0,0.3921,fs,gs,hs,1.0,0.7,7,1.0,0.01
21.0,0.3194099999999999,fs,gs,hs,1.0,0.7,7,1.0,0.01
46.0,0.299,fs,gs,hs,1.0,0.7,7,1.0,0.01
100.0,0.2799999999999999,fs,gs,hs,1.0,0.7,7,1.0,0.01
