N,NPfix,envs,germs,hards,pA,pGermBH,pGermWT,bankLength,wA,wB,site
100.0,0.0,es,gs,hs,0.0,0.165,0.165,7,1.453,0.547,FR
215.0,0.0,es,gs,hs,0.0,0.165,0.165,7,1.453,0.547,FR
464.0,0.0,es,gs,hs,0.0,0.165,0.165,7,1.453,0.547,FR
1000.0,0.0,es,gs,hs,0.0,0.165,0.165,7,1.453,0.547,FR
1.0,1.0,ed,gs,hs,0.5,0.165,0.165,3,1.453,0.547,FR
2.0,0.31068,ed,gs,hs,0.5,0.165,0.165,3,1.453,0.547,FR
4.0,0.085,ed,gs,hs,0.5,0.165,0.165,3,1.453,0.547,FR
10.0,0.0001,ed,gs,hs,0.5,0.165,0.165,3,1.453,0.547,FR
21.0,0.0,ed,gs,hs,0.5,0.165,0.165,3,1.453,0.547,FR
46.0,0.0,ed,gs,hs,0.5,0.165,0.165,3,1.453,0.547,FR
100.0,0.0,ed,gs,hs,0.5,0.165,0.165,3,1.453,0.547,FR
215.0,0.0,ed,gs,hs,0.5,0.165,0.165,3,1.453,0.547,FR
464.0,0.0,ed,gs,hs,0.5,0.165,0.165,3,1.453,0.547,FR
1000.0,0.0,ed,gs,hs,0.5,0.165,0.165,3,1.453,0.547,FR
1.0,1.0,ed,gs,hs,0.5,0.165,0.75,5,1.453,0.547,FR
2.0,0.37284,ed,gs,hs,0.5,0.165,0.75,5,1.453,0.547,FR
4.0,0.08724,ed,gs,hs,0.5,0.165,0.75,5,1.453,0.547,FR
10.0,0.0001,ed,gs,hs,0.5,0.165,0.75,5,1.453,0.547,FR
21.0,0.0,ed,gs,hs,0.5,0.165,0.75,5,1.453,0.547,FR
46.0,0.0,ed,gs,hs,0.5,0.165,0.75,5,1.453,0.547,FR
100.0,0.0,ed,gs,hs,0.5,0.165,0.75,5,1.453,0.547,FR
215.0,0.0,ed,gs,hs,0.5,0.165,0.75,5,1.453,0.547,FR
464.0,0.0,ed,gs,hs,0.5,0.165,0.75,5,1.453,0.547,FR
1000.0,0.0,ed,gs,hs,0.5,0.165,0.75,5,1.453,0.547,FR
1.0,1.0,es,gs,hs,0.75,0.165,0.165,5,1.453,0.547,FR
2.0,0.55018,es,gs,hs,0.75,0.165,0.165,5,1.453,0.547,FR
4.0,0.18516,es,gs,hs,0.75,0.165,0.165,5,1.453,0.547,FR
10.0,0.0006,es,gs,hs,0.75,0.165,0.165,5,1.453,0.547,FR
21.0,0.0,es,gs,hs,0.75,0.165,0.165,5,1.453,0.547,FR
46.0,0.0,es,gs,hs,0.75,0.165,0.165,5,1.453,0.547,FR
100.0,0.0,es,gs,hs,0.75,0.165,0.165,5,1.453,0.547,FR
215.0,0.0,es,gs,hs,0.75,0.165,0.165,5,1.453,0.547,FR
464.0,0.0,es,gs,hs,0.75,0.165,0.165,5,1.453,0.547,FR
1000.0,0.0,es,gs,hs,0.75,0.165,0.165,5,1.453,0.547,FR
1.0,1.0,es,gs,hs,0.5,0.165,0.165,5,1.453,0.547,FR
2.0,0.42068,es,gs,hs,0.5,0.165,0.165,5,1.453,0.547,FR
4.0,0.115,es,gs,hs,0.5,0.165,0.165,5,1.453,0.547,FR
10.0,0.0003,es,gs,hs,0.5,0.165,0.165,5,1.453,0.547,FR
21.0,0.0,es,gs,hs,0.5,0.165,0.165,5,1.453,0.547,FR
46.0,0.0,es,gs,hs,0.5,0.165,0.165,5,1.453,0.547,FR
100.0,0.0,es,gs,hs,0.5,0.165,0.165,5,1.453,0.547,FR
215.0,0.0,es,gs,hs,0.5,0.165,0.165,5,1.453,0.547,FR
464.0,0.0,es,gs,hs,0.5,0.165,0.165,5,1.453,0.547,FR
1000.0,0.0,es,gs,hs,0.5,0.165,0.165,5,1.453,0.547,FR
1.0,1.0,ed,gs,hs,0.5,0.165,0.165,5,1.453,0.547,FR
2.0,0.42508,ed,gs,hs,0.5,0.165,0.165,5,1.453,0.547,FR
4.0,0.12088,ed,gs,hs,0.5,0.165,0.165,5,1.453,0.547,FR
10.0,0.0003,ed,gs,hs,0.5,0.165,0.165,5,1.453,0.547,FR
21.0,0.0,ed,gs,hs,0.5,0.165,0.165,5,1.453,0.547,FR
46.0,0.0,ed,gs,hs,0.5,0.165,0.165,5,1.453,0.547,FR
100.0,0.0,ed,gs,hs,0.5,0.165,0.165,5,1.453,0.547,FR
215.0,0.0,ed,gs,hs,0.5,0.165,0.165,5,1.453,0.547,FR
464.0,0.0,ed,gs,hs,0.5,0.165,0.165,5,1.453,0.547,FR
1000.0,0.0,ed,gs,hs,0.5,0.165,0.165,5,1.453,0.547,FR
