N,NPfix,envs,germs,hards,pA,pGermBH,pGermWT,bankLength,wA,wB,site
21.0,0.0,es,gs,hs,1.0,0.227,1.0,3,1.884,0.116,GCN
46.0,0.0,es,gs,hs,1.0,0.227,1.0,3,1.884,0.116,GCN
100.0,0.0,es,gs,hs,1.0,0.227,1.0,3,1.884,0.116,GCN
215.0,0.0,es,gs,hs,1.0,0.227,1.0,3,1.884,0.116,GCN
464.0,0.0,es,gs,hs,1.0,0.227,1.0,3,1.884,0.116,GCN
1000.0,0.0,es,gs,hs,1.0,0.227,1.0,3,1.884,0.116,GCN
1.0,1.0,es,gs,hs,0.25,0.227,1.0,7,1.884,0.116,GCN
2.0,0.24376,es,gs,hs,0.25,0.227,1.0,7,1.884,0.116,GCN
4.0,0.10432,es,gs,hs,0.25,0.227,1.0,7,1.884,0.116,GCN
10.0,0.0003,es,gs,hs,0.25,0.227,1.0,7,1.884,0.116,GCN
21.0,0.0,es,gs,hs,0.25,0.227,1.0,7,1.884,0.116,GCN
46.0,0.0,es,gs,hs,0.25,0.227,1.0,7,1.884,0.116,GCN
100.0,0.0,es,gs,hs,0.25,0.227,1.0,7,1.884,0.116,GCN
215.0,0.0,es,gs,hs,0.25,0.227,1.0,7,1.884,0.116,GCN
464.0,0.0,es,gs,hs,0.25,0.227,1.0,7,1.884,0.116,GCN
1000.0,0.0,es,gs,hs,0.25,0.227,1.0,7,1.884,0.116,GCN
1.0,1.0,ed,gs,hs,1.0,0.227,0.75,5,1.884,0.116,GCN
2.0,0.45984,ed,gs,hs,1.0,0.227,0.75,5,1.884,0.116,GCN
4.0,0.20236,ed,gs,hs,1.0,0.227,0.75,5,1.884,0.116,GCN
10.0,0.0044,ed,gs,hs,1.0,0.227,0.75,5,1.884,0.116,GCN
21.0,0.0,ed,gs,hs,1.0,0.227,0.75,5,1.884,0.116,GCN
46.0,0.0,ed,gs,hs,1.0,0.227,0.75,5,1.884,0.116,GCN
100.0,0.0,ed,gs,hs,1.0,0.227,0.75,5,1.884,0.116,GCN
215.0,0.0,ed,gs,hs,1.0,0.227,0.75,5,1.884,0.116,GCN
464.0,0.0,ed,gs,hs,1.0,0.227,0.75,5,1.884,0.116,GCN
1000.0,0.0,ed,gs,hs,1.0,0.227,0.75,5,1.884,0.116,GCN
1.0,1.0,ed,gs,hs,0.75,0.227,0.227,3,1.884,0.116,GCN
2.0,0.3973,ed,gs,hs,0.75,0.227,0.227,3,1.884,0.116,GCN
4.0,0.1918,ed,gs,hs,0.75,0.227,0.227,3,1.884,0.116,GCN
10.0,0.0029,ed,gs,hs,0.75,0.227,0.227,3,1.884,0.116,GCN
21.0,0.0,ed,gs,hs,0.75,0.227,0.227,3,1.884,0.116,GCN
46.0,0.0,ed,gs,hs,0.75,0.227,0.227,3,1.884,0.116,GCN
100.0,0.0,ed,gs,hs,0.75,0.227,0.227,3,1.884,0.116,GCN
215.0,0.0,ed,gs,hs,0.75,0.227,0.227,3,1.884,0.116,GCN
464.0,0.0,ed,gs,hs,0.75,0.227,0.227,3,1.884,0.116,GCN
1000.0,0.0,ed,gs,hs,0.75,0.227,0.227,3,1.884,0.116,GCN
1.0,1.0,es,gs,hs,0.25,0.227,0.5,7,1.884,0.116,GCN
2.0,0.2524,es,gs,hs,0.25,0.227,0.5,7,1.884,0.116,GCN
4.0,0.09812,es,gs,hs,0.25,0.227,0.5,7,1.884,0.116,GCN
